Filename; Min NDVI Value; Max NDVI Value
image_042; -0.1048951048951049; 0.140625 
image_043; -0.1310344827586207; 0.16312056737588654 
image_044; -0.05069124423963134; 0.04918032786885246 
image_045; -0.03832752613240418; 0.04150943396226415 
image_046; -0.02743142144638404; 0.047244094488188976 
image_047; -0.05723905723905724; 0.10576923076923077 
image_048; -0.054187192118226604; 0.1935483870967742 
image_049; -0.030534351145038167; 0.12077294685990338 
image_050; -0.022857142857142857; 0.06532663316582915 
image_051; -0.01567398119122257; 0.02158273381294964 
image_052; -0.013824884792626729; 0.019417475728155338 
image_053; -0.014492753623188406; 0.04878048780487805 
image_054; -0.0413625304136253; 0.14655172413793102 
image_055; -0.030303030303030304; 0.14098360655737704 
image_056; -0.04807692307692308; 0.22522522522522523 
image_057; -0.008174386920980926; 0.05982905982905983 
image_071; -0.02564102564102564; 0.03125 
image_072; -0.08823529411764706; 0.15555555555555556 
image_073; -0.1901840490797546; 0.13612565445026178 
image_074; -0.17045454545454544; 0.21235521235521235 
image_075; -0.07964601769911504; 0.32575757575757575 
image_076; -0.04854368932038835; 0.38823529411764707 
image_088; -0.11578947368421053; 0.057971014492753624 
image_089; -0.1111111111111111; 0.04854368932038835 
image_090; -0.09734513274336283; 0.06628242074927954 
image_091; -0.15294117647058825; 0.22972972972972974 
image_092; -0.10810810810810811; 0.2596685082872928 
image_159; -0.047872340425531915; 0.028871391076115485 
image_160; -0.06451612903225806; 0.2868217054263566 
image_161; -0.043209876543209874; 0.24571428571428572 
image_162; -0.01990049751243781; 0.1907514450867052 
image_163; -0.025210084033613446; 0.14009661835748793 
image_164; -0.0313588850174216; 0.08035714285714286 
image_165; -0.061124694376528114; 0.12371134020618557 
image_166; -0.0513595166163142; 0.16049382716049382 
image_167; -0.03896103896103896; 0.17708333333333334 
image_168; -0.07216494845360824; 0.1836734693877551 
image_169; -0.03636363636363636; 0.15873015873015872 
image_170; -0.013513513513513514; 0.08860759493670886 
image_171; -0.016091954022988506; 0.16908212560386474 
image_172; -0.059907834101382486; 0.23618090452261306 
image_173; -0.039603960396039604; 0.23404255319148937 
