Timestamp;Filename;Latitude;North/South;Longitude;East/West
24-04-2023 14:13:44;image_097.jpg;44/1,13/1,264/10;S;38/1,20/1,329/10;E
24-04-2023 14:14:34;image_098.jpg;45/1,45/1,331/10;S;42/1,3/1,238/10;E
24-04-2023 14:15:23;image_099.jpg;47/1,9/1,495/10;S;46/1,0/1,554/10;E
24-04-2023 14:16:12;image_100.jpg;48/1,23/1,273/10;S;50/1,7/1,122/10;E
24-04-2023 14:17:01;image_101.jpg;49/1,27/1,85/10;S;54/1,26/1,95/10;E
24-04-2023 14:17:50;image_102.jpg;50/1,20/1,33/10;S;58/1,57/1,323/10;E
24-04-2023 14:18:40;image_103.jpg;51/1,1/1,85/10;S;63/1,39/1,129/10;E
24-04-2023 14:19:29;image_104.jpg;51/1,29/1,153/10;S;68/1,23/1,596/10;E
24-04-2023 14:20:17;image_105.jpg;51/1,44/1,381/10;S;73/1,13/1,405/10;E
24-04-2023 14:21:07;image_106.jpg;51/1,46/1,575/10;S;78/1,8/1,247/10;E
24-04-2023 14:21:56;image_107.jpg;51/1,35/1,539/10;S;83/1,3/1,50/10;E
24-04-2023 14:22:45;image_108.jpg;51/1,11/1,352/10;S;87/1,54/1,70/10;E
24-04-2023 14:23:35;image_109.jpg;50/1,34/1,210/10;S;92/1,39/1,64/10;E
24-04-2023 14:24:24;image_110.jpg;49/1,45/1,481/10;S;97/1,10/1,234/10;E
24-04-2023 14:25:13;image_111.jpg;48/1,45/1,561/10;S;101/1,32/1,30/10;E
24-04-2023 14:26:01;image_112.jpg;47/1,35/1,361/10;S;105/1,42/1,235/10;E
24-04-2023 14:26:50;image_113.jpg;46/1,15/1,242/10;S;109/1,41/1,214/10;E
24-04-2023 14:27:40;image_114.jpg;44/1,45/1,572/10;S;113/1,28/1,573/10;E
24-04-2023 14:28:29;image_115.jpg;43/1,8/1,118/10;S;117/1,4/1,416/10;E
24-04-2023 14:29:19;image_116.jpg;41/1,22/1,593/10;S;120/1,28/1,415/10;E
24-04-2023 14:30:08;image_117.jpg;39/1,33/1,221/10;S;123/1,37/1,440/10;E
24-04-2023 14:30:56;image_118.jpg;37/1,37/1,554/10;S;126/1,36/1,409/10;E
24-04-2023 14:31:45;image_119.jpg;35/1,36/1,566/10;S;129/1,26/1,391/10;E
24-04-2023 14:32:35;image_120.jpg;33/1,31/1,139/10;S;132/1,7/1,575/10;E
24-04-2023 14:33:24;image_121.jpg;31/1,21/1,160/10;S;134/1,41/1,229/10;E
24-04-2023 14:34:13;image_122.jpg;29/1,7/1,219/10;S;137/1,7/1,486/10;E
24-04-2023 14:35:03;image_123.jpg;26/1,50/1,384/10;S;139/1,27/1,149/10;E
24-04-2023 14:35:52;image_124.jpg;24/1,30/1,502/10;S;141/1,41/1,49/10;E
24-04-2023 14:36:41;image_125.jpg;22/1,11/1,11/10;S;143/1,47/1,335/10;E
24-04-2023 14:37:30;image_126.jpg;19/1,48/1,444/10;S;145/1,49/1,571/10;E
24-04-2023 14:38:19;image_127.jpg;17/1,24/1,282/10;S;147/1,48/1,390/10;E
24-04-2023 14:39:08;image_128.jpg;14/1,58/1,198/10;S;149/1,44/1,181/10;E
24-04-2023 14:39:57;image_129.jpg;12/1,30/1,261/10;S;151/1,37/1,304/10;E
24-04-2023 14:40:47;image_130.jpg;10/1,0/1,560/10;S;153/1,28/1,487/10;E
24-04-2023 14:41:37;image_131.jpg;7/1,30/1,217/10;S;155/1,18/1,272/10;E
24-04-2023 14:42:25;image_132.jpg;5/1,1/1,488/10;S;157/1,4/1,512/10;E
24-04-2023 14:43:14;image_133.jpg;2/1,32/1,239/10;S;158/1,50/1,430/10;E
24-04-2023 14:44:03;image_134.jpg;0/1,2/1,233/10;S;160/1,36/1,249/10;E
24-04-2023 14:44:53;image_135.jpg;2/1,28/1,26/10;N;162/1,22/1,243/10;E
24-04-2023 14:45:42;image_136.jpg;4/1,58/1,549/10;N;164/1,9/1,168/10;E
24-04-2023 14:46:32;image_137.jpg;7/1,29/1,445/10;N;165/1,57/1,179/10;E
24-04-2023 14:47:21;image_138.jpg;9/1,59/1,460/10;N;167/1,46/1,319/10;E
24-04-2023 14:48:11;image_139.jpg;12/1,29/1,279/10;N;169/1,37/1,580/10;E
24-04-2023 14:48:59;image_140.jpg;14/1,55/1,393/10;N;171/1,29/1,499/10;E
24-04-2023 14:49:48;image_141.jpg;17/1,21/1,143/10;N;173/1,24/1,579/10;E
24-04-2023 14:50:37;image_142.jpg;19/1,45/1,532/10;N;175/1,23/1,527/10;E
24-04-2023 14:51:27;image_143.jpg;22/1,9/1,213/10;N;177/1,27/1,127/10;E
24-04-2023 14:52:16;image_144.jpg;24/1,31/1,236/10;N;179/1,35/1,408/10;E
24-04-2023 14:53:06;image_145.jpg;26/1,51/1,280/10;N;178/1,10/1,107/10;W
24-04-2023 14:53:55;image_146.jpg;29/1,6/1,291/10;N;175/1,52/1,284/10;W
24-04-2023 14:54:44;image_147.jpg;31/1,19/1,52/10;N;173/1,27/1,347/10;W
24-04-2023 14:55:33;image_148.jpg;33/1,28/1,343/10;N;170/1,54/1,563/10;W
24-04-2023 14:56:22;image_149.jpg;35/1,34/1,402/10;N;168/1,13/1,238/10;W
24-04-2023 14:57:11;image_150.jpg;37/1,35/1,371/10;N;165/1,23/1,458/10;W
24-04-2023 14:58:00;image_151.jpg;39/1,32/1,175/10;N;162/1,23/1,97/10;W
24-04-2023 14:58:49;image_152.jpg;41/1,23/1,313/10;N;159/1,11/1,225/10;W
24-04-2023 14:59:39;image_153.jpg;43/1,8/1,570/10;N;155/1,46/1,467/10;W
24-04-2023 15:00:28;image_154.jpg;44/1,45/1,176/10;N;152/1,14/1,88/10;W
24-04-2023 15:01:16;image_155.jpg;46/1,14/1,66/10;N;148/1,28/1,312/10;W
24-04-2023 15:02:05;image_156.jpg;47/1,34/1,288/10;N;144/1,29/1,380/10;W
24-04-2023 15:02:55;image_157.jpg;48/1,45/1,171/10;N;140/1,18/1,110/10;W
24-04-2023 15:03:44;image_158.jpg;49/1,45/1,486/10;N;135/1,53/1,560/10;W
24-04-2023 15:04:33;image_159.jpg;50/1,35/1,71/10;N;131/1,17/1,423/10;W
24-04-2023 15:05:22;image_160.jpg;51/1,11/1,393/10;N;126/1,37/1,33/10;W
